Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
2004,Washington,53.0,4737670.25,3188761.9166666665,67.0,2988081.8333333335,62.666666666666664,200680.08333333334,5.916666666666667
2004,West Virginia,54.0,1432843.5833333333,789350.75,55.0,743891.5,51.25,45459.25,5.25
2004,Wisconsin,55.0,4247546.5,3034066.0,70.83333333333333,2883054.1666666665,67.5,151011.83333333334,4.5
2004,Wyoming,56.0,386203.75,274688.25,71.0,264165.0,68.0,10523.25,3.1666666666666665
2005,Alabama,1.0,3477390.6666666665,2140116.25,61.0,2044937.25,58.25,95179.0,4.083333333333333
2005,Alaska,2.0,480221.9166666667,344135.1666666667,71.0,320288.5,66.0,23846.666666666668,6.5
2005,Arizona,4.0,4465450.75,2862538.25,63.916666666666664,2729310.4166666665,61.0,133227.83333333334,4.0
2005,Arkansas,5.0,2112848.0833333335,1333986.8333333333,62.833333333333336,1263888.0833333333,59.25,70098.75,5.0
2005,California,6.0,26761750.25,17537645.666666668,65.0,16594411.166666666,61.666666666666664,943234.5,5.0
2005,Colorado,8.0,3548119.9166666665,2572486.3333333335,72.0,2442173.5833333335,68.16666666666667,130312.75,4.583333333333333
2005,Connecticut,9.0,2677266.1666666665,1794540.1666666667,66.58333333333333,1708318.9166666667,63.5,86221.25,4.0
2005,Delaware,10.0,644982.4166666666,433313.0833333333,66.66666666666667,413863.25,63.666666666666664,19449.833333333332,4.0
2005,District of Columbia,11.0,466612.5833333333,318148.1666666667,67.75,295924.0833333333,63.0,22224.083333333332,6.583333333333333
2005,Florida,12.0,13894684.25,8647734.416666666,61.833333333333336,8400945.166666666,59.833333333333336,246789.25,2.4166666666666665
2005,Georgia,13.0,6747799.916666667,4598017.25,67.91666666666667,4336462.666666667,64.0,261554.58333333334,5.0
2005,Hawaii,15.0,951366.4166666666,625570.4166666666,65.41666666666667,607928.5,63.583333333333336,17641.916666666668,2.1666666666666665
2005,Idaho,16.0,1056225.1666666667,730461.9166666666,68.83333333333333,701274.3333333334,65.91666666666667,29187.583333333332,3.5833333333333335
2005,Illinois,17.0,9611487.916666666,6410714.583333333,66.0,6044703.75,62.416666666666664,366010.8333333333,5.166666666666667
2005,Indiana,18.0,4752907.833333333,3202414.8333333335,67.0,3030019.0833333335,63.333333333333336,172395.75,5.0
2005,Iowa,19.0,2275360.9166666665,1628542.1666666667,71.0,1558852.75,67.91666666666667,69689.41666666667,4.0
